video,ft,fps,kbps
blue_sky_1080p25,1,27.20,4443.89
blue_sky_1080p25,2,31.75,4446.28
blue_sky_1080p25,3,32.43,4458.47
blue_sky_1080p25,4,32.54,4476.31
crowd_run_1080p50,1,31.73,3984.80
crowd_run_1080p50,2,35.18,3981.19
crowd_run_1080p50,3,35.81,3981.77
crowd_run_1080p50,4,36.34,3978.45
ducks_take_off_1080p50,1,29.74,4144.99
ducks_take_off_1080p50,2,32.51,4143.63
ducks_take_off_1080p50,3,33.43,4140.17
ducks_take_off_1080p50,4,33.61,4140.04
in_to_tree_1080p50,1,31.90,4510.43
in_to_tree_1080p50,2,35.47,4513.61
in_to_tree_1080p50,3,36.46,4511.46
in_to_tree_1080p50,4,36.56,4506.78
old_town_cross_1080p50,1,33.15,3996.51
old_town_cross_1080p50,2,37.26,4000.60
old_town_cross_1080p50,3,38.30,4000.58
old_town_cross_1080p50,4,38.63,4003.40
park_joy_1080p50,1,32.69,3832.43
park_joy_1080p50,2,35.92,3823.25
park_joy_1080p50,3,37.23,3819.29
park_joy_1080p50,4,37.54,3812.13
pedestrian_area_1080p25,1,28.89,3995.84
pedestrian_area_1080p25,2,31.48,3996.99
pedestrian_area_1080p25,3,32.36,3977.56
pedestrian_area_1080p25,4,32.41,3981.48
riverbed_1080p25,1,23.67,3978.21
riverbed_1080p25,2,25.77,3976.81
riverbed_1080p25,3,26.27,3973.98
riverbed_1080p25,4,26.43,3969.86
rush_hour_1080p25,1,27.08,3934.10
rush_hour_1080p25,2,30.10,3932.03
rush_hour_1080p25,3,30.59,3931.59
rush_hour_1080p25,4,30.62,3932.16
station2_1080p25,1,28.59,4006.47
station2_1080p25,2,32.11,4003.77
station2_1080p25,3,32.92,3997.57
station2_1080p25,4,32.77,4013.64
sunflower_1080p25,1,29.01,4026.03
sunflower_1080p25,2,32.54,4025.92
sunflower_1080p25,3,33.20,4024.96
sunflower_1080p25,4,33.25,4025.52
tractor_1080p25,1,27.95,3618.66
tractor_1080p25,2,31.38,3621.18
tractor_1080p25,3,32.14,3619.94
tractor_1080p25,4,32.13,3612.03
