video,cfg,fps
blue_sky_1080p25,ft1,28.42
blue_sky_1080p25,ft2,32.18
blue_sky_1080p25,ft3,32.64
blue_sky_1080p25,ft4,32.74
blue_sky_1080p25,ft1la4,33.94
crowd_run_1080p50,ft1,34.53
crowd_run_1080p50,ft2,35.68
crowd_run_1080p50,ft3,36.20
crowd_run_1080p50,ft4,36.34
crowd_run_1080p50,ft1la4,38.49
ducks_take_off_1080p50,ft1,32.74
ducks_take_off_1080p50,ft2,33.09
ducks_take_off_1080p50,ft3,33.64
ducks_take_off_1080p50,ft4,33.89
ducks_take_off_1080p50,ft1la4,36.02
in_to_tree_1080p50,ft1,34.64
in_to_tree_1080p50,ft2,35.87
in_to_tree_1080p50,ft3,36.71
in_to_tree_1080p50,ft4,36.97
in_to_tree_1080p50,ft1la4,38.89
old_town_cross_1080p50,ft1,35.98
old_town_cross_1080p50,ft2,37.97
old_town_cross_1080p50,ft3,38.75
old_town_cross_1080p50,ft4,39.08
old_town_cross_1080p50,ft1la4,40.62
park_joy_1080p50,ft1,36.41
park_joy_1080p50,ft2,36.60
park_joy_1080p50,ft3,37.51
park_joy_1080p50,ft4,37.69
park_joy_1080p50,ft1la4,40.65
pedestrian_area_1080p25,ft1,31.31
pedestrian_area_1080p25,ft2,32.12
pedestrian_area_1080p25,ft3,32.27
pedestrian_area_1080p25,ft4,32.64
pedestrian_area_1080p25,ft1la4,34.02
riverbed_1080p25,ft1,25.31
riverbed_1080p25,ft2,26.02
riverbed_1080p25,ft3,26.52
riverbed_1080p25,ft4,26.41
riverbed_1080p25,ft1la4,27.57
rush_hour_1080p25,ft1,29.23
rush_hour_1080p25,ft2,30.09
rush_hour_1080p25,ft3,30.68
rush_hour_1080p25,ft4,31.08
rush_hour_1080p25,ft1la4,32.26
station2_1080p25,ft1,30.95
station2_1080p25,ft2,32.50
station2_1080p25,ft3,33.01
station2_1080p25,ft4,33.11
station2_1080p25,ft1la4,33.93
sunflower_1080p25,ft1,31.59
sunflower_1080p25,ft2,32.60
sunflower_1080p25,ft3,33.50
sunflower_1080p25,ft4,33.66
sunflower_1080p25,ft1la4,34.90
tractor_1080p25,ft1,30.40
tractor_1080p25,ft2,31.49
tractor_1080p25,ft3,32.24
tractor_1080p25,ft4,32.30
tractor_1080p25,ft1la4,33.22
