video,la,fps,md5
blue_sky_1080p25,0,26.42,e317e9a2660ccef5bc2bbc1f360e19bf
blue_sky_1080p25,4,31.31,e317e9a2660ccef5bc2bbc1f360e19bf
crowd_run_1080p50,0,31.34,30832bca621223a028855749c2295995
crowd_run_1080p50,4,37.38,30832bca621223a028855749c2295995
ducks_take_off_1080p50,0,30.10,572ed2d29548141cc982b5a4abad4f0a
ducks_take_off_1080p50,4,35.36,572ed2d29548141cc982b5a4abad4f0a
in_to_tree_1080p50,0,31.62,ef10c19086052d139b361136a69095ad
in_to_tree_1080p50,4,36.69,ef10c19086052d139b361136a69095ad
old_town_cross_1080p50,0,33.02,99d8f3693f7faa319d9861ab999c32f9
old_town_cross_1080p50,4,40.33,99d8f3693f7faa319d9861ab999c32f9
park_joy_1080p50,0,32.96,935e3499c5d13b8b1e5a20ce0c4c9016
park_joy_1080p50,4,39.29,935e3499c5d13b8b1e5a20ce0c4c9016
pedestrian_area_1080p25,0,28.80,e74a7468d145a2a06d0cd5da2c5822e7
pedestrian_area_1080p25,4,33.78,e74a7468d145a2a06d0cd5da2c5822e7
riverbed_1080p25,0,23.89,d002e05284f3f5bdbf104e79bfda7c1d
riverbed_1080p25,4,27.35,d002e05284f3f5bdbf104e79bfda7c1d
rush_hour_1080p25,0,27.30,4a4d3c41b523ea1944924d06563048c4
rush_hour_1080p25,4,32.11,4a4d3c41b523ea1944924d06563048c4
station2_1080p25,0,28.35,a28e1503d9d545c5daadcd4c670ec556
station2_1080p25,4,33.53,a28e1503d9d545c5daadcd4c670ec556
sunflower_1080p25,0,29.07,5328020f238b09ad85e1a2818977141f
sunflower_1080p25,4,34.76,5328020f238b09ad85e1a2818977141f
tractor_1080p25,0,27.86,2825c66d0274464e3542e304840d1824
tractor_1080p25,4,32.94,2825c66d0274464e3542e304840d1824
