video,mode,fps,md5
blue_sky_1080p25,0,28.47,e317e9a2660ccef5bc2bbc1f360e19bf
blue_sky_1080p25,1,32.01,e317e9a2660ccef5bc2bbc1f360e19bf
blue_sky_1080p25,2,33.71,e317e9a2660ccef5bc2bbc1f360e19bf
crowd_run_1080p50,0,34.53,30832bca621223a028855749c2295995
crowd_run_1080p50,1,34.88,30832bca621223a028855749c2295995
crowd_run_1080p50,2,37.87,30832bca621223a028855749c2295995
ducks_take_off_1080p50,0,32.69,572ed2d29548141cc982b5a4abad4f0a
ducks_take_off_1080p50,1,33.91,572ed2d29548141cc982b5a4abad4f0a
ducks_take_off_1080p50,2,35.35,572ed2d29548141cc982b5a4abad4f0a
in_to_tree_1080p50,0,34.85,ef10c19086052d139b361136a69095ad
in_to_tree_1080p50,1,36.03,ef10c19086052d139b361136a69095ad
in_to_tree_1080p50,2,38.08,ef10c19086052d139b361136a69095ad
old_town_cross_1080p50,0,36.18,99d8f3693f7faa319d9861ab999c32f9
old_town_cross_1080p50,1,37.41,99d8f3693f7faa319d9861ab999c32f9
old_town_cross_1080p50,2,40.21,99d8f3693f7faa319d9861ab999c32f9
park_joy_1080p50,0,36.17,935e3499c5d13b8b1e5a20ce0c4c9016
park_joy_1080p50,1,37.47,935e3499c5d13b8b1e5a20ce0c4c9016
park_joy_1080p50,2,39.86,935e3499c5d13b8b1e5a20ce0c4c9016
pedestrian_area_1080p25,0,31.35,e74a7468d145a2a06d0cd5da2c5822e7
pedestrian_area_1080p25,1,32.30,e74a7468d145a2a06d0cd5da2c5822e7
pedestrian_area_1080p25,2,33.48,e74a7468d145a2a06d0cd5da2c5822e7
riverbed_1080p25,0,25.52,d002e05284f3f5bdbf104e79bfda7c1d
riverbed_1080p25,1,26.24,d002e05284f3f5bdbf104e79bfda7c1d
riverbed_1080p25,2,27.16,d002e05284f3f5bdbf104e79bfda7c1d
rush_hour_1080p25,0,29.57,4a4d3c41b523ea1944924d06563048c4
rush_hour_1080p25,1,30.54,4a4d3c41b523ea1944924d06563048c4
rush_hour_1080p25,2,31.52,4a4d3c41b523ea1944924d06563048c4
station2_1080p25,0,31.10,a28e1503d9d545c5daadcd4c670ec556
station2_1080p25,1,31.80,a28e1503d9d545c5daadcd4c670ec556
station2_1080p25,2,33.29,a28e1503d9d545c5daadcd4c670ec556
sunflower_1080p25,0,31.61,5328020f238b09ad85e1a2818977141f
sunflower_1080p25,1,31.62,5328020f238b09ad85e1a2818977141f
sunflower_1080p25,2,34.07,5328020f238b09ad85e1a2818977141f
tractor_1080p25,0,30.02,2825c66d0274464e3542e304840d1824
tractor_1080p25,1,30.77,2825c66d0274464e3542e304840d1824
tractor_1080p25,2,32.15,2825c66d0274464e3542e304840d1824
