video,config,frames,wall_s,fps,psnr_avg,kbps
blue_sky_1080p25,x264-uf,217,5.43,40.0,36.194932,11315
blue_sky_1080p25,x264-sf,217,6.59,32.9,37.186552,11182
blue_sky_1080p25,x265-up,217,8.06,26.9,37.948888,4474
blue_sky_1080p25,x265-down,217,6.78,32.0,37.948888,4474
crowd_run_1080p50,x264-uf,500,11.30,44.2,26.682415,10046
crowd_run_1080p50,x264-sf,500,13.93,35.9,27.841977,9889
crowd_run_1080p50,x265-up,500,16.21,30.8,26.739557,3988
crowd_run_1080p50,x265-down,500,13.88,36.0,26.739557,3988
ducks_take_off_1080p50,x264-uf,500,12.11,41.3,25.268613,10331
ducks_take_off_1080p50,x264-sf,500,16.23,30.8,26.924153,10175
ducks_take_off_1080p50,x265-up,500,17.93,27.9,26.423274,4172
ducks_take_off_1080p50,x265-down,500,15.23,32.8,26.423274,4172
in_to_tree_1080p50,x264-uf,500,11.43,43.7,32.949090,10669
in_to_tree_1080p50,x264-sf,500,13.74,36.4,33.691143,10365
in_to_tree_1080p50,x265-up,500,15.96,31.3,33.703628,4511
in_to_tree_1080p50,x265-down,500,13.67,36.6,33.703628,4511
old_town_cross_1080p50,x264-uf,500,11.35,44.1,33.979214,10057
old_town_cross_1080p50,x264-sf,500,13.57,36.8,34.770064,10028
old_town_cross_1080p50,x265-up,500,15.03,33.3,35.486635,3998
old_town_cross_1080p50,x265-down,500,13.05,38.3,35.486635,3998
park_joy_1080p50,x264-uf,500,11.39,43.9,25.277148,9812
park_joy_1080p50,x264-sf,500,13.65,36.6,25.882354,9753
park_joy_1080p50,x265-up,500,15.69,31.9,25.118574,3817
park_joy_1080p50,x265-down,500,13.44,37.2,25.118574,3817
pedestrian_area_1080p25,x264-uf,375,9.04,41.5,41.048137,9818
pedestrian_area_1080p25,x264-sf,375,13.91,27.0,42.296972,9871
pedestrian_area_1080p25,x265-up,375,13.65,27.5,41.432186,3983
pedestrian_area_1080p25,x265-down,375,11.74,31.9,41.432186,3983
riverbed_1080p25,x264-uf,250,7.00,35.7,32.600218,9857
riverbed_1080p25,x264-sf,250,12.96,19.3,35.839129,9909
riverbed_1080p25,x265-up,250,11.46,21.8,33.152305,3968
riverbed_1080p25,x265-down,250,9.65,25.9,33.152305,3968
rush_hour_1080p25,x264-uf,500,12.77,39.2,41.621799,9922
rush_hour_1080p25,x264-sf,500,19.57,25.5,42.778953,9996
rush_hour_1080p25,x265-up,500,19.51,25.6,42.186512,3933
rush_hour_1080p25,x265-down,500,16.47,30.4,42.186512,3933
station2_1080p25,x264-uf,313,7.62,41.1,39.613809,10040
station2_1080p25,x264-sf,313,9.85,31.8,40.492112,9948
station2_1080p25,x265-up,313,11.22,27.9,41.050358,4016
station2_1080p25,x265-down,313,9.63,32.5,41.050358,4016
sunflower_1080p25,x264-uf,500,12.63,39.6,40.923229,10247
sunflower_1080p25,x264-sf,500,16.22,30.8,42.560952,10214
sunflower_1080p25,x265-up,500,17.70,28.2,42.218934,4026
sunflower_1080p25,x265-down,500,15.17,33.0,42.218934,4026
tractor_1080p25,x264-uf,690,18.63,37.0,36.802058,9716
tractor_1080p25,x264-sf,690,26.88,25.7,39.158303,9860
tractor_1080p25,x265-up,690,25.68,26.9,37.959099,3616
tractor_1080p25,x265-down,690,21.85,31.6,37.959099,3616
