video,config,frames,wall_s,fps,psnr_avg,kbps
blue_sky_1080p25,x264-uf,217,5.13,42.3,36.194932,11315
blue_sky_1080p25,x264-sf,217,6.65,32.6,37.171045,11191
blue_sky_1080p25,x265-up,217,8.17,26.6,37.948888,4474
blue_sky_1080p25,x265-down,217,7.10,30.6,37.948888,4474
crowd_run_1080p50,x264-uf,500,10.73,46.6,26.682415,10046
crowd_run_1080p50,x264-sf,500,13.82,36.2,27.729884,9886
crowd_run_1080p50,x265-up,500,16.35,30.6,26.739557,3988
crowd_run_1080p50,x265-down,500,14.51,34.5,26.739557,3988
ducks_take_off_1080p50,x264-uf,500,12.51,40.0,25.268613,10331
ducks_take_off_1080p50,x264-sf,500,16.67,30.0,27.020603,10156
ducks_take_off_1080p50,x265-up,500,18.32,27.3,26.423274,4172
ducks_take_off_1080p50,x265-down,500,16.12,31.0,26.423274,4172
in_to_tree_1080p50,x264-uf,500,11.58,43.2,32.949090,10669
in_to_tree_1080p50,x264-sf,500,13.36,37.4,33.693335,10375
in_to_tree_1080p50,x265-up,500,16.30,30.7,33.703628,4511
in_to_tree_1080p50,x265-down,500,14.52,34.4,33.703628,4511
old_town_cross_1080p50,x264-uf,500,11.02,45.4,33.979214,10057
old_town_cross_1080p50,x264-sf,500,13.33,37.5,34.771031,10029
old_town_cross_1080p50,x265-up,500,15.49,32.3,35.486635,3998
old_town_cross_1080p50,x265-down,500,13.73,36.4,35.486635,3998
park_joy_1080p50,x264-uf,500,11.61,43.1,25.277148,9812
park_joy_1080p50,x264-sf,500,13.94,35.9,25.943686,9762
park_joy_1080p50,x265-up,500,15.66,31.9,25.118574,3817
park_joy_1080p50,x265-down,500,13.89,36.0,25.118574,3817
pedestrian_area_1080p25,x264-uf,375,8.78,42.7,41.048137,9818
pedestrian_area_1080p25,x264-sf,375,13.80,27.2,42.354704,9861
pedestrian_area_1080p25,x265-up,375,13.72,27.3,41.432186,3983
pedestrian_area_1080p25,x265-down,375,12.10,31.0,41.432186,3983
riverbed_1080p25,x264-uf,250,6.97,35.9,32.600218,9857
riverbed_1080p25,x264-sf,250,12.73,19.6,35.739487,9898
riverbed_1080p25,x265-up,250,11.45,21.8,33.152305,3968
riverbed_1080p25,x265-down,250,9.87,25.3,33.152305,3968
rush_hour_1080p25,x264-uf,500,13.57,36.8,41.621799,9922
rush_hour_1080p25,x264-sf,500,19.42,25.7,42.806972,9999
rush_hour_1080p25,x265-up,500,19.49,25.7,42.186512,3933
rush_hour_1080p25,x265-down,500,17.16,29.1,42.186512,3933
station2_1080p25,x264-uf,313,7.42,42.2,39.613809,10040
station2_1080p25,x264-sf,313,9.79,32.0,40.489753,9948
station2_1080p25,x265-up,313,11.24,27.8,41.050358,4016
station2_1080p25,x265-down,313,10.02,31.2,41.050358,4016
sunflower_1080p25,x264-uf,500,13.39,37.3,40.923229,10247
sunflower_1080p25,x264-sf,500,16.52,30.3,42.567903,10215
sunflower_1080p25,x265-up,500,17.67,28.3,42.218934,4026
sunflower_1080p25,x265-down,500,15.71,31.8,42.218934,4026
tractor_1080p25,x264-uf,690,18.69,36.9,36.802058,9716
tractor_1080p25,x264-sf,690,24.83,27.8,39.119639,9863
tractor_1080p25,x265-up,690,25.57,27.0,37.959099,3616
tractor_1080p25,x265-down,690,22.57,30.6,37.959099,3616
