video,config,frames,wall_s,fps,psnr_avg,kbps
crowd_run_1080p50,x264-uf,500,11.52,43.4,26.682415,10046
crowd_run_1080p50,x264-sf,500,14.46,34.6,27.859468,9866
crowd_run_1080p50,x265-up,500,17.12,29.2,26.739557,3988
crowd_run_1080p50,x265-down,500,15.27,32.7,26.739557,3988
park_joy_1080p50,x264-uf,500,12.06,41.5,25.277148,9812
park_joy_1080p50,x264-sf,500,14.32,34.9,25.894005,9757
park_joy_1080p50,x265-up,500,16.52,30.3,25.118574,3817
park_joy_1080p50,x265-down,500,14.63,34.2,25.118574,3817
ducks_take_off_1080p50,x264-uf,500,12.94,38.6,25.268613,10331
ducks_take_off_1080p50,x264-sf,500,17.30,28.9,26.951893,10172
ducks_take_off_1080p50,x265-up,500,18.76,26.7,26.423274,4172
ducks_take_off_1080p50,x265-down,500,16.86,29.7,26.423274,4172
in_to_tree_1080p50,x264-uf,500,11.92,41.9,32.949090,10669
in_to_tree_1080p50,x264-sf,500,14.17,35.3,33.756292,10372
in_to_tree_1080p50,x265-up,500,16.77,29.8,33.703628,4511
in_to_tree_1080p50,x265-down,500,15.09,33.1,33.703628,4511
old_town_cross_1080p50,x264-uf,500,12.08,41.4,33.979214,10057
old_town_cross_1080p50,x264-sf,500,13.93,35.9,34.775392,10022
old_town_cross_1080p50,x265-up,500,15.77,31.7,35.486635,3998
old_town_cross_1080p50,x265-down,500,14.23,35.1,35.486635,3998
pedestrian_area_1080p25,x264-uf,375,9.68,38.7,41.048137,9818
pedestrian_area_1080p25,x264-sf,375,14.79,25.4,42.339305,9871
pedestrian_area_1080p25,x265-up,375,14.42,26.0,41.432186,3983
pedestrian_area_1080p25,x265-down,375,12.70,29.5,41.432186,3983
riverbed_1080p25,x264-uf,250,7.44,33.6,32.600218,9857
riverbed_1080p25,x264-sf,250,13.30,18.8,35.829836,9903
riverbed_1080p25,x265-up,250,11.77,21.2,33.152305,3968
riverbed_1080p25,x265-down,250,10.38,24.1,33.152305,3968
rush_hour_1080p25,x264-uf,500,13.23,37.8,41.621799,9922
rush_hour_1080p25,x264-sf,500,19.81,25.2,42.810898,10000
rush_hour_1080p25,x265-up,500,20.29,24.6,42.186512,3933
rush_hour_1080p25,x265-down,500,17.93,27.9,42.186512,3933
sunflower_1080p25,x264-uf,500,14.01,35.7,40.923229,10247
sunflower_1080p25,x264-sf,500,17.52,28.5,42.571551,10216
sunflower_1080p25,x265-up,500,18.47,27.1,42.218934,4026
sunflower_1080p25,x265-down,500,16.66,30.0,42.218934,4026
tractor_1080p25,x264-uf,690,19.81,34.8,36.802058,9716
tractor_1080p25,x264-sf,690,26.19,26.3,39.075516,9860
tractor_1080p25,x265-up,690,26.62,25.9,37.959099,3616
tractor_1080p25,x265-down,690,23.91,28.9,37.959099,3616
blue_sky_1080p25,x264-uf,217,5.20,41.7,36.194932,11315
blue_sky_1080p25,x264-sf,217,6.92,31.4,37.217279,11204
blue_sky_1080p25,x265-up,217,8.32,26.1,37.948888,4474
blue_sky_1080p25,x265-down,217,7.37,29.4,37.948888,4474
station2_1080p25,x264-uf,313,8.06,38.8,39.613809,10040
station2_1080p25,x264-sf,313,10.15,30.8,40.536395,9946
station2_1080p25,x265-up,313,11.75,26.6,41.050358,4016
station2_1080p25,x265-down,313,10.56,29.6,41.050358,4016
