video,config,frames,wall_s,fps,psnr_avg,kbps
blue_sky_1080p25,x264-uf,217,5.11,42.5,36.194932,11315
blue_sky_1080p25,x264-sf,217,6.92,31.4,37.157103,11198
blue_sky_1080p25,x265-up,217,8.72,24.9,37.958790,4477
blue_sky_1080p25,x265-down,217,7.36,29.5,37.958790,4477
crowd_run_1080p50,x264-uf,500,11.34,44.1,26.682415,10046
crowd_run_1080p50,x264-sf,500,14.84,33.7,27.740966,9891
crowd_run_1080p50,x265-up,500,15.91,31.4,26.724979,3980
crowd_run_1080p50,x265-down,500,13.68,36.5,26.724979,3980
ducks_take_off_1080p50,x264-uf,500,12.35,40.5,25.268613,10331
ducks_take_off_1080p50,x264-sf,500,16.10,31.1,27.087906,10159
ducks_take_off_1080p50,x265-up,500,17.41,28.7,26.412154,4142
ducks_take_off_1080p50,x265-down,500,14.95,33.4,26.412154,4142
in_to_tree_1080p50,x264-uf,500,11.78,42.4,32.949090,10669
in_to_tree_1080p50,x264-sf,500,13.87,36.0,33.709498,10364
in_to_tree_1080p50,x265-up,500,15.65,31.9,33.715592,4508
in_to_tree_1080p50,x265-down,500,13.58,36.8,33.715592,4508
old_town_cross_1080p50,x264-uf,500,11.35,44.1,33.979214,10057
old_town_cross_1080p50,x264-sf,500,12.59,39.7,34.768162,10027
old_town_cross_1080p50,x265-up,500,14.83,33.7,35.494380,4005
old_town_cross_1080p50,x265-down,500,12.96,38.6,35.494380,4005
park_joy_1080p50,x264-uf,500,11.08,45.1,25.277148,9812
park_joy_1080p50,x264-sf,500,13.13,38.1,25.892636,9758
park_joy_1080p50,x265-up,500,15.46,32.3,25.124245,3814
park_joy_1080p50,x265-down,500,13.33,37.5,25.124245,3814
pedestrian_area_1080p25,x264-uf,375,9.12,41.1,41.048137,9818
pedestrian_area_1080p25,x264-sf,375,13.74,27.3,42.321462,9866
pedestrian_area_1080p25,x265-up,375,13.46,27.9,41.431305,3982
pedestrian_area_1080p25,x265-down,375,11.50,32.6,41.431305,3982
riverbed_1080p25,x264-uf,250,6.96,35.9,32.600218,9857
riverbed_1080p25,x264-sf,250,12.76,19.6,35.765335,9893
riverbed_1080p25,x265-up,250,11.26,22.2,33.153696,3971
riverbed_1080p25,x265-down,250,9.53,26.2,33.153696,3971
rush_hour_1080p25,x264-uf,500,13.46,37.1,41.621799,9922
rush_hour_1080p25,x264-sf,500,19.18,26.1,42.802577,10002
rush_hour_1080p25,x265-up,500,19.08,26.2,42.187491,3933
rush_hour_1080p25,x265-down,500,16.23,30.8,42.187491,3933
station2_1080p25,x264-uf,313,7.78,40.2,39.613809,10040
station2_1080p25,x264-sf,313,9.74,32.1,40.506383,9948
station2_1080p25,x265-up,313,10.96,28.6,41.050361,4014
station2_1080p25,x265-down,313,9.55,32.8,41.050361,4014
sunflower_1080p25,x264-uf,500,13.15,38.0,40.923229,10247
sunflower_1080p25,x264-sf,500,16.54,30.2,42.596140,10209
sunflower_1080p25,x265-up,500,17.27,29.0,42.215406,4026
sunflower_1080p25,x265-down,500,14.93,33.5,42.215406,4026
tractor_1080p25,x264-uf,690,18.68,36.9,36.802058,9716
tractor_1080p25,x264-sf,690,26.81,25.7,39.089812,9859
tractor_1080p25,x265-up,690,24.89,27.7,37.959897,3613
tractor_1080p25,x265-down,690,21.39,32.3,37.959897,3613
