video,config,frames,wall_s,fps,psnr_avg,kbps
crowd_run_1080p50,x264-uf,500,13.92,35.9,26.682415,10046
crowd_run_1080p50,x264-sf,500,17.33,28.9,27.779738,9878
crowd_run_1080p50,x265-up,500,19.90,25.1,26.739557,3988
crowd_run_1080p50,x265-down,500,18.22,27.4,26.739557,3988
park_joy_1080p50,x264-uf,500,13.68,36.5,25.277148,9812
park_joy_1080p50,x264-sf,500,16.50,30.3,25.913662,9757
park_joy_1080p50,x265-up,500,18.75,26.7,25.118574,3817
park_joy_1080p50,x265-down,500,16.74,29.9,25.118574,3817
ducks_take_off_1080p50,x264-uf,500,14.44,34.6,25.268613,10331
ducks_take_off_1080p50,x264-sf,500,18.86,26.5,27.094494,10156
ducks_take_off_1080p50,x265-up,500,21.00,23.8,26.423274,4172
ducks_take_off_1080p50,x265-down,500,19.00,26.3,26.423274,4172
in_to_tree_1080p50,x264-uf,500,14.20,35.2,32.949090,10669
in_to_tree_1080p50,x264-sf,500,16.66,30.0,33.749896,10360
in_to_tree_1080p50,x265-up,500,18.81,26.6,33.703628,4511
in_to_tree_1080p50,x265-down,500,17.04,29.3,33.703628,4511
old_town_cross_1080p50,x264-uf,500,13.50,37.0,33.979214,10057
old_town_cross_1080p50,x264-sf,500,15.76,31.7,34.823905,10009
old_town_cross_1080p50,x265-up,500,17.99,27.8,35.486635,3998
old_town_cross_1080p50,x265-down,500,16.28,30.7,35.486635,3998
pedestrian_area_1080p25,x264-uf,375,10.62,35.3,41.048137,9818
pedestrian_area_1080p25,x264-sf,375,16.09,23.3,42.288550,9871
pedestrian_area_1080p25,x265-up,375,15.68,23.9,41.432186,3983
pedestrian_area_1080p25,x265-down,375,14.18,26.4,41.432186,3983
riverbed_1080p25,x264-uf,250,8.14,30.7,32.600218,9857
riverbed_1080p25,x264-sf,250,13.89,18.0,35.901574,9925
riverbed_1080p25,x265-up,250,12.63,19.8,33.152305,3968
riverbed_1080p25,x265-down,250,11.29,22.1,33.152305,3968
rush_hour_1080p25,x264-uf,500,14.37,34.8,41.621799,9922
rush_hour_1080p25,x264-sf,500,22.31,22.4,42.781895,9998
rush_hour_1080p25,x265-up,500,21.96,22.8,42.186512,3933
rush_hour_1080p25,x265-down,500,19.73,25.3,42.186512,3933
sunflower_1080p25,x264-uf,500,15.40,32.5,40.923229,10247
sunflower_1080p25,x264-sf,500,19.40,25.8,42.552924,10216
sunflower_1080p25,x265-up,500,20.43,24.5,42.218934,4026
sunflower_1080p25,x265-down,500,18.48,27.1,42.218934,4026
tractor_1080p25,x264-uf,690,21.90,31.5,36.802058,9716
tractor_1080p25,x264-sf,690,32.80,21.0,39.085746,9858
tractor_1080p25,x265-up,690,29.76,23.2,37.959099,3616
tractor_1080p25,x265-down,690,26.72,25.8,37.959099,3616
blue_sky_1080p25,x264-uf,217,5.82,37.3,36.194932,11315
blue_sky_1080p25,x264-sf,217,7.47,29.0,37.171188,11194
blue_sky_1080p25,x265-up,217,9.12,23.8,37.948888,4474
blue_sky_1080p25,x265-down,217,8.20,26.5,37.948888,4474
station2_1080p25,x264-uf,313,8.90,35.2,39.613809,10040
station2_1080p25,x264-sf,313,10.83,28.9,40.540494,9950
station2_1080p25,x265-up,313,12.83,24.4,41.050358,4016
station2_1080p25,x265-down,313,11.00,28.5,41.050358,4016
