video,ft,fps
blue_sky_1080p25,1,27.22
blue_sky_1080p25,2,31.36
blue_sky_1080p25,3,32.39
blue_sky_1080p25,4,32.41
blue_sky_1080p25,5,32.60
crowd_run_1080p50,1,31.79
crowd_run_1080p50,2,34.98
crowd_run_1080p50,3,35.78
crowd_run_1080p50,4,36.52
crowd_run_1080p50,5,36.18
ducks_take_off_1080p50,1,30.02
ducks_take_off_1080p50,2,32.51
ducks_take_off_1080p50,3,33.41
ducks_take_off_1080p50,4,33.46
ducks_take_off_1080p50,5,33.69
in_to_tree_1080p50,1,31.92
in_to_tree_1080p50,2,35.17
in_to_tree_1080p50,3,35.76
in_to_tree_1080p50,4,35.66
in_to_tree_1080p50,5,36.19
old_town_cross_1080p50,1,33.23
old_town_cross_1080p50,2,37.07
old_town_cross_1080p50,3,38.61
old_town_cross_1080p50,4,38.60
old_town_cross_1080p50,5,38.74
park_joy_1080p50,1,32.85
park_joy_1080p50,2,36.28
park_joy_1080p50,3,37.21
park_joy_1080p50,4,37.37
park_joy_1080p50,5,37.64
pedestrian_area_1080p25,1,28.84
pedestrian_area_1080p25,2,31.63
pedestrian_area_1080p25,3,32.38
pedestrian_area_1080p25,4,32.39
pedestrian_area_1080p25,5,32.27
riverbed_1080p25,1,23.58
riverbed_1080p25,2,25.91
riverbed_1080p25,3,26.44
riverbed_1080p25,4,26.46
riverbed_1080p25,5,26.35
rush_hour_1080p25,1,27.43
rush_hour_1080p25,2,30.11
rush_hour_1080p25,3,30.79
rush_hour_1080p25,4,30.73
rush_hour_1080p25,5,30.66
station2_1080p25,1,28.62
station2_1080p25,2,32.28
station2_1080p25,3,32.86
station2_1080p25,4,32.62
station2_1080p25,5,32.85
sunflower_1080p25,1,29.05
sunflower_1080p25,2,32.63
sunflower_1080p25,3,33.32
sunflower_1080p25,4,33.16
sunflower_1080p25,5,33.12
tractor_1080p25,1,27.68
tractor_1080p25,2,30.91
tractor_1080p25,3,31.56
tractor_1080p25,4,31.92
tractor_1080p25,5,31.78
