round,stage,secs,fps,cycles,temp
1,00-pristine,29.41,30.60,251146995461,64.8
1,01-deblock,29.21,30.82,248294359412,65.3
1,02-p1-4,29.34,30.68,250185235204,67.0
1,03-p5,29.76,30.24,253755577159,67.0
1,04-p6,29.45,30.56,251445781268,68.6
1,05-p6b,29.86,30.14,254396340996,66.4
1,06-p7,29.98,30.02,254604140435,67.0
1,07-p8,29.21,30.82,248370871265,66.4
1,08-p9,28.70,31.36,243535647950,67.0
1,09-p10,26.83,33.54,227830585869,67.0
1,10-p11,26.40,34.10,223233096953,67.5
2,00-pristine,29.49,30.52,251533361384,66.4
2,01-deblock,29.25,30.77,248863822932,65.9
2,02-p1-4,29.91,30.09,254783891655,66.4
2,03-p5,29.81,30.20,253559690038,67.0
2,04-p6,29.73,30.27,253429131485,67.5
2,05-p6b,29.19,30.84,249502616615,66.4
2,06-p7,29.41,30.60,250296567653,65.9
2,07-p8,29.66,30.35,252023181921,64.2
2,08-p9,28.68,31.38,242845040249,67.0
2,09-p10,27.31,32.95,232466624008,66.4
2,10-p11,26.39,34.10,222500227856,68.1
3,00-pristine,29.48,30.53,250346233493,66.4
3,01-deblock,29.06,30.97,247414106356,65.9
3,02-p1-4,29.25,30.76,250179102080,67.0
3,03-p5,29.59,30.41,253061315473,65.9
3,04-p6,29.35,30.67,249786350825,65.9
3,05-p6b,29.80,30.20,254610773431,68.6
3,06-p7,29.88,30.12,254948437122,66.4
3,07-p8,29.63,30.37,251825761837,67.0
3,08-p9,28.95,31.09,245203756370,66.4
3,09-p10,27.36,32.90,232313266929,67.0
3,10-p11,26.45,34.02,223861813978,65.3
4,00-pristine,29.51,30.50,250282785119,65.9
4,01-deblock,29.31,30.70,249825337380,67.0
4,02-p1-4,29.65,30.35,253137894347,67.0
4,03-p5,29.48,30.53,251166871724,67.0
4,04-p6,29.55,30.45,249997974171,67.5
4,05-p6b,29.62,30.39,253466222784,65.9
4,06-p7,30.30,29.70,254145935768,66.4
4,07-p8,29.87,30.13,253988476396,67.5
4,08-p9,28.78,31.27,244073773135,67.5
4,09-p10,27.38,32.87,231344238567,68.1
4,10-p11,26.69,33.72,225340126447,66.4
round,stage,secs,fps,cycles,temp
1,00-pristine,28.78,31.27,244320109549,63.1
1,01-deblock,28.64,31.42,243644786725,64.2
1,02-p1-4,28.71,31.35,244625664620,66.4
1,06-p7,29.21,30.81,249457265405,65.3
1,07-p8,28.86,31.19,246496246314,66.4
2,00-pristine,28.94,31.09,247802584396,65.3
2,01-deblock,28.40,31.69,242209070375,64.8
2,02-p1-4,29.21,30.81,248632908810,65.9
2,06-p7,28.98,31.05,248025466433,65.9
2,07-p8,29.14,30.89,248532970220,65.3
3,00-pristine,28.87,31.18,246001053318,65.3
3,01-deblock,29.12,30.91,248275561316,66.4
3,02-p1-4,29.03,31.00,248726169530,65.9
3,06-p7,29.30,30.71,249938913108,66.4
3,07-p8,29.13,30.89,248699993355,65.9
4,00-pristine,28.55,31.53,243928786327,65.3
4,01-deblock,28.66,31.40,244340756567,66.4
4,02-p1-4,28.98,31.06,247238750282,67.5
4,06-p7,28.77,31.28,246517233881,65.9
4,07-p8,29.01,31.02,247646590597,66.4
5,00-pristine,28.59,31.48,244839271919,66.4
5,01-deblock,29.05,30.98,247339089093,64.8
5,02-p1-4,29.22,30.80,248810080388,65.3
5,06-p7,29.53,30.48,249999390351,64.8
5,07-p8,29.23,30.79,248175488528,65.3
6,00-pristine,29.14,30.89,248253429651,65.3
6,01-deblock,28.98,31.05,247291615606,65.3
6,02-p1-4,29.61,30.39,251460436840,66.4
6,06-p7,29.07,30.96,247916640773,66.4
6,07-p8,28.85,31.19,245005341422,65.3
