video,mode,fps
blue_sky_1080p25,async2,31.96
blue_sky_1080p25,async2,33.80
blue_sky_1080p25,la4,33.95
blue_sky_1080p25,la4,34.24
crowd_run_1080p50,async2,38.05
crowd_run_1080p50,async2,38.10
crowd_run_1080p50,la4,38.52
crowd_run_1080p50,la4,38.44
ducks_take_off_1080p50,async2,35.32
ducks_take_off_1080p50,async2,35.53
ducks_take_off_1080p50,la4,35.74
ducks_take_off_1080p50,la4,35.82
in_to_tree_1080p50,async2,38.01
in_to_tree_1080p50,async2,38.29
in_to_tree_1080p50,la4,38.70
in_to_tree_1080p50,la4,38.88
old_town_cross_1080p50,async2,39.98
old_town_cross_1080p50,async2,40.16
old_town_cross_1080p50,la4,40.72
old_town_cross_1080p50,la4,40.62
park_joy_1080p50,async2,39.82
park_joy_1080p50,async2,39.63
park_joy_1080p50,la4,40.25
park_joy_1080p50,la4,40.43
pedestrian_area_1080p25,async2,33.57
pedestrian_area_1080p25,async2,33.70
pedestrian_area_1080p25,la4,34.24
pedestrian_area_1080p25,la4,34.03
riverbed_1080p25,async2,27.18
riverbed_1080p25,async2,27.30
riverbed_1080p25,la4,27.63
riverbed_1080p25,la4,27.71
rush_hour_1080p25,async2,31.27
rush_hour_1080p25,async2,31.78
rush_hour_1080p25,la4,32.33
rush_hour_1080p25,la4,32.29
station2_1080p25,async2,33.34
station2_1080p25,async2,33.40
station2_1080p25,la4,34.01
station2_1080p25,la4,33.90
sunflower_1080p25,async2,34.16
sunflower_1080p25,async2,34.48
sunflower_1080p25,la4,34.73
sunflower_1080p25,la4,34.65
tractor_1080p25,async2,32.41
tractor_1080p25,async2,32.84
tractor_1080p25,la4,33.25
tractor_1080p25,la4,33.30
