video,codec,kbps,psnr,ssim,tc,p5,bad
blue_sky_1080p25,h265,4445,37.520,0.959208,3.1847,32.784,0.00
blue_sky_1080p25,h264,11315,35.646,0.944588,3.8614,30.928,0.00
crowd_run_1080p50,h265,3986,25.298,0.732341,10.7313,21.578,39.20
crowd_run_1080p50,h264,10046,25.219,0.724621,11.6649,21.963,42.72
ducks_take_off_1080p50,h265,4147,25.092,0.713258,9.4608,21.978,46.30
ducks_take_off_1080p50,h264,10331,23.817,0.679585,11.9189,20.946,65.81
in_to_tree_1080p50,h265,4512,32.738,0.825920,5.9276,29.885,0.00
in_to_tree_1080p50,h264,10669,31.828,0.808067,6.6889,29.146,0.00
old_town_cross_1080p50,h265,3998,34.535,0.876471,4.8222,32.587,0.00
old_town_cross_1080p50,h264,10057,32.805,0.856415,5.7460,30.427,0.00
park_joy_1080p50,h265,3834,23.697,0.682911,14.3436,19.883,55.68
park_joy_1080p50,h264,9812,23.820,0.691510,14.6745,20.151,56.42
pedestrian_area_1080p25,h265,3997,40.411,0.958966,2.0786,38.238,0.00
pedestrian_area_1080p25,h264,9818,39.904,0.955299,2.2816,37.953,0.00
riverbed_1080p25,h265,3979,31.731,0.856018,7.0257,29.513,0.00
riverbed_1080p25,h264,9857,31.141,0.831103,7.5061,28.976,0.00
rush_hour_1080p25,h265,3935,41.225,0.959822,2.3070,39.478,0.00
rush_hour_1080p25,h264,9922,40.455,0.954541,2.5222,38.573,0.00
station2_1080p25,h265,4007,40.125,0.955575,2.5475,38.621,0.00
station2_1080p25,h264,10040,38.461,0.942389,3.0516,36.542,0.00
sunflower_1080p25,h265,4027,41.835,0.971616,2.1636,39.981,0.00
sunflower_1080p25,h264,10247,40.147,0.962891,2.6533,38.226,0.00
tractor_1080p25,h265,3619,37.371,0.937453,3.6436,34.620,0.00
tractor_1080p25,h264,9716,35.854,0.920541,4.3188,32.967,0.00
